 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
 22 , 73 , 24 , 70 , 19 , 168 , 22 , 171 , 16 ,,, 94 , 54 ,100%,39%,100%,46%,96%,49%,97%,46%,100%
 37 , 201 , 21 , 61 , 18 , 146 , 18 , 194 , 17 ,,, 95 , 55 ,100%,39%,100%,46%,96%,49%,97%,49%,100%
 20 , 210 , 24 , 27 , 22 , 149 , 24 , 167 , 17 ,,, 96 , 55 ,100%,39%,100%,46%,96%,50%,97%,49%,100%
 25 , 46 , 31 , 207 , 18 , 301 , 17 , 150 , 17 ,,, 97 , 55 ,100%,39%,100%,46%,96%,51%,97%,49%,100%
 21 , 56 , 46 , 38 , 16 , 53 , 21 , 76 , 17 ,,, 98 , 56 ,100%,39%,100%,46%,96%,51%,97%,49%,100%
 20 , 73 , 29 , 29 , 18 , 19 , 20 , 28 , 17 ,,, 99 , 56 ,100%,40%,100%,46%,96%,52%,97%,50%,100%
,,,,,,,,,,, 100 , 57 ,100%,41%,100%,46%,96%,52%,97%,50%,100%
,,,,,,,,,,, 101 , 57 ,100%,41%,100%,46%,96%,52%,97%,50%,100%
,,,,,,,,,,, 102 , 58 ,100%,41%,100%,47%,96%,52%,97%,50%,100%
,,,,,,,,,,, 103 , 58 ,100%,41%,100%,47%,96%,53%,97%,51%,100%
,,,,,,,,,,, 104 , 58 ,100%,41%,100%,47%,96%,53%,97%,51%,100%
,,,,,,,,,,, 105 , 59 ,100%,41%,100%,47%,96%,54%,97%,51%,100%
,,,,,,,,,,, 106 , 59 ,100%,41%,100%,47%,96%,54%,97%,51%,100%
,,,,,,,,,,, 107 , 60 ,100%,41%,100%,48%,96%,54%,97%,51%,100%
,,,,,,,,,,, 108 , 60 ,100%,42%,100%,48%,96%,54%,97%,51%,100%
,,,,,,,,,,, 109 , 60 ,100%,42%,100%,49%,96%,54%,97%,51%,100%
,,,,,,,,,,, 110 , 61 ,100%,42%,100%,50%,96%,54%,97%,51%,100%
,,,,,,,,,,, 111 , 61 ,100%,43%,100%,51%,96%,55%,97%,51%,100%
